n,rec_user,rec_sys,rec_clock,ite_user,ite_sys,ite_clock
1, 0, 3.7e-06, 2.639e-07, 0, 2e-07, 1.684e-07
2, 0, 3e-07, 1.279e-07, 0, 1e-07, 1.186e-07
3, 0, 2e-07, 1.552e-07, 0, 1e-07, 1.122e-07
4, 0, 2e-07, 2.004e-07, 0, 2e-07, 1.624e-07
5, 0, 3e-07, 2.347e-07, 0, 1e-07, 1.499e-07
6, 0, 4e-07, 2.441e-07, 0, 1e-07, 1.42e-07
7, 0, 4e-07, 3.597e-07, 0, 1e-07, 1.816e-07
8, 0, 6e-07, 4.274e-07, 0, 1e-07, 1.549e-07
9, 0, 7e-07, 6.093e-07, 0, 2e-07, 1.449e-07
10, 0, 1e-06, 8.756e-07, 0, 2e-07, 1.527e-07
11, 0, 1.3e-06, 1.2947e-06, 0, 1e-07, 1.505e-07
12, 0, 2.1e-06, 1.9851e-06, 0, 2e-07, 1.47e-07
13, 0, 3.1e-06, 3.0493e-06, 0, 1e-07, 1.566e-07
14, 0, 5.1e-06, 5.0526e-06, 0, 2e-07, 1.525e-07
15, 0, 8.2e-06, 8.1803e-06, 0, 2e-07, 1.86e-07
16, 0, 1.32e-05, 1.32533e-05, 0, 2e-07, 1.549e-07
17, 0, 2.1e-05, 2.11388e-05, 0, 1e-07, 1.654e-07
18, 0, 3.36e-05, 3.36789e-05, 0, 2e-07, 2.048e-07
19, 0, 5.34e-05, 5.36195e-05, 0, 2e-07, 1.719e-07
20, 8.99e-05, 0, 0.00011214, 2e-07, 0, 1.683e-07
21, 0.0001347, 0, 0.000135163, 1e-07, 0, 1.711e-07
22, 0.000218, 0, 0.000218163, 2e-07, 0, 1.43e-07
23, 0.0003167, 0, 0.00031697, 2e-07, 0, 1.499e-07
24, 0.0005526, 0, 0.000569769, 3e-07, 0, 2.215e-07
25, 0.0008936, 0, 0.000908232, 3e-07, 0, 2.261e-07
26, 0.0014877, 0, 0.00150805, 3e-07, 0, 2.128e-07
27, 0.0023534, 0, 0.00241992, 2e-07, 0, 1.943e-07
28, 0.002983, 0, 0.00302735, 1e-07, 0, 7.61e-08
29, 0.0024101, 0, 0.00243654, 1e-07, 0, 6.45e-08
30, 0.0024779, 0, 0.00249258, 1e-07, 0, 5.53e-08
31, 0.0033725, 0, 0.00339539, 1e-07, 0, 4.77e-08
32, 0.0054412, 0, 0.00548619, 1e-07, 0, 5.19e-08
33, 0.0087978, 0, 0.00895991, 1e-07, 0, 5.43e-08
34, 0.0144049, 0, 0.014618, 0, 0, 3.11e-08
35, 0.0210999, 0, 0.0212668, 0, 0, 3.06e-08
36, 0.933523, 0, 0.933781, 1e-07, 0, 3.07e-08
37, 0.0534954, 0, 0.0534963, 0, 0, 3.37e-08
38, 0.9867, 0, 0.986704, 1e-07, 0, 3.37e-08
39, 1.05843, 0, 1.95924, 0, 0, 3.51e-08
40, 2.93633, 0, 2.03862, 0, 0, 3.87e-08
